id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37321865,Entire 3 Bedroom House near McCormick Place,24007439,Simon And Nora,,Bridgeport,41.83786,-87.6521,Entire home/apt,200,2,2,2019-10-22,1.54,1,86
37323283,King Bed & Netflix in a High Rise Building,134776344,Josie,,Loop,41.88435,-87.63085,Entire home/apt,400,2,2,2019-11-07,0.59,7,55
37323913,Modern Studio Quick Walk to Downtown,157261984,Adrea,,Near North Side,41.89469,-87.63082,Entire home/apt,400,2,2,2019-10-18,0.88,24,58
37325185,"Huge, Sunny East Lakeview Studio",65284162,Elizabeth,,Lake View,41.9376,-87.64337,Entire home/apt,86,2,2,2019-08-09,0.55,1,89
37325536,Sonder | Essex on the Park | Divine 1BR + View,12243051,Sonder,,Loop,41.87094,-87.62574,Entire home/apt,147,2,5,2019-10-26,1.55,108,365
37325732,Business-Ready Apt with King Bed & Pool,163141076,Kelly,,Loop,41.88578,-87.63224,Entire home/apt,400,2,0,,,4,55
37327269,Single Travelers Paradise with KING BED ♔,176237492,Thais,,Loop,41.88644,-87.62558,Entire home/apt,400,2,0,,,7,51
37327751,"Urban oasis in charming, safe neighborhood",2957900,Nicole,,North Center,41.9509,-87.68098,Entire home/apt,100,7,2,2019-10-05,1.15,1,83
37333669,Peaceful vibes/ complimentary homemade breakfast,70727229,Whitney,,Rogers Park,42.01763,-87.67353,Private room,45,1,10,2019-11-16,5.26,1,198
37334586,*3 Bed 2 Full Bath Elegant Penthouse In Chicago,281192928,Moe,,Irving Park,41.95602,-87.70052,Entire home/apt,299,3,10,2019-10-27,2.73,1,60
37334917,CLEANEST Airbnb in Chicago in Highrise,157261984,Adrea,,Loop,41.88645,-87.62431,Entire home/apt,400,2,3,2019-11-12,3,24,24
37336927,Best CLEANING in Chicago,157261984,Adrea,,Near West Side,41.88361,-87.64382,Entire home/apt,400,2,1,2019-09-12,0.42,24,58
37337769,Best CLEANING in Chicago,157261984,Adrea,,Loop,41.88603,-87.63246,Entire home/apt,400,2,3,2019-09-09,0.95,24,55
37338259,The Cozy Getaway,162319793,Khamiya,,Chatham,41.74635,-87.6014,Entire home/apt,69,1,8,2019-10-20,2.31,1,129
37340525,ROOM SERVICE  EVERTY 2 DAYS- KING BED- MIL PARK,137690443,Gracie,,Loop,41.88394,-87.62825,Entire home/apt,400,2,5,2019-11-14,2.03,12,54
